guessed_brand_name,product_count,parent_company,source_note,match_type
Diclogesic,5,,,
Diclomol,5,,,
Diclonac,5,,,
Dicloran,7,,,
Diclotal,8,,,
Diclowin,10,,,
Dicorate,8,,,
Diet,8,,,
Digene,23,,,
Digeplex,6,,,
Digeraft,6,,,
Digihaler,5,,,
Digital,5,,,
Dignity,11,,,
Dilnip,12,,,
Dilzem,7,,,
Dimpu,22,,,
Diovol,14,,,
Dipnate,7,,,
Dipro,6,,,
Diprobate,6,,,
Diprovate,9,,,
Diresta,6,,,
Dispensing,5,,,
Dispo,5,,,
Disposable,12,,,
Dispovan,31,,,
Distaclor,9,,,
Diva,7,,,
Divaa,11,,,
Divalex,5,,,
Divalpro,5,,,
Divon,7,,,
Dm,8,,,
Dns,13,,,
Do,5,,,
Dolo,21,,,
Dolocold,5,,,
Dolokind,12,,,
Doloneuron,6,,,
Dolonex,6,,,
Dolopar,10,,,
Dolostat,5,,,
Dolowin,9,,,
Dolphin,5,,,
Dom,6,,,
Dompan,6,,,
Domstal,12,,,
Don,7,,,
Donep,7,,,
Doqtar,145,,,
Dorzox,6,,,
Dove,88,,,
4,10,,,
Dox,7,,,
Doxcef,7,,,
Doxinate,7,,,
Doxolin,7,,,
Doxy,6,,,
Dr,146,,,
Drez,19,,,
Drishti,9,,,
Drotin,10,,,
Droxyl,7,,,
Dry,9,,,
Ds,6,,,
Dtel,7,,,
Dubagest,7,,,
Dubinor,6,,,
Dulane,6,,,
Duloxee,5,,,
Duoflam,9,,,
Duolin,9,,,
Duopil,6,,,
Dupax,5,,,
Duphalac,9,,,
Duracell,18,,,
Durex,63,Reckitt Benckiser (India) Ltd,RB brand,exact
Duvanta,6,,,
Duzela,6,,,
Dv,5,,,
Dvt,6,,,
Dwibhashi,12,,,
Dyna,72,,,
Dynaglipt,10,,,
Dynamic,10,,,
Dynapar,16,,,
Dysliptin,8,,,
Dytor,15,,,
East,18,,,
Easy,17,,,
Eatrite,72,,,
Ebast,6,,,
Ebernet,7,,,
Ecitelo,6,,,
Eclo,5,,,
Eco,11,,,
Ecosprin,13,,,
Ecotears,6,,,
Edrive,5,,,
Eema,6,,,
Efatop,5,,,
Efnocar,5,,,
Eglucent,6,,,
Eido,5,,,
Ekran,8,,,
El,8,,,
Eladi,6,,,
Elastic,8,,,
Eldapa,6,,,
Eldervit,7,,,
Eldiapers,6,,,
Eldotel,7,,,
Electral,11,FDC Ltd,FDC's ORS brand,exact
Electrobion,5,,,
Elite,10,,,
Elmecob,5,,,
Elocon,8,,,
Elovera,21,,,
Eloway,6,,,
Elriz,5,,,
Eltroxin,12,,,
Emami,24,,,
Embeta,15,,,
Emeset,8,,,
Emetil,5,,,
Emildap,5,,,
Emnorm,8,,,
Emoform,6,,,
Empabite,8,,,
Empacip,8,,,
Empadoz,9,,,
Empaglyde,12,,,
Empaglyn,13,,,
Empagreat,8,,,
Empahope,6,,,
Empajoy,8,,,
Empalo,5,,,
Empaneo,8,,,
Empanorm,15,,,
H,10,,,
Empaone,12,,,
Empapro,8,,,
Empashield,10,,,
Empasize,5,,,
Empasov,6,,,
Empatrol,6,,,
Empatru,6,,,
Empavive,6,,,
Empayug,5,,,
Empazio,8,,,
Empexel,7,,,
Empha,11,,,
Empraz,5,,,
Emprogest,6,,,
Emprovin,7,,,
Emsita,12,,,
En,5,,,
Enace,6,,,
Encelin,12,,,
Encentin,5,,,
Enchanteur,6,,,
Encorate,11,,,
Encore,5,,,
Endoformin,12,,,
Endogest,6,,,
Endoglim,13,,,
Endolip,6,,,
Endotracheal,43,,,
Endura,7,,,
Enerzal,16,,,
Engage,40,,,
Eno,18,Haleon (formerly GSK Consumer Healthcare),GSK consumer arm spun into Haleon globally,exact
