guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Prohance,Unlinked,26,Prohance Renal Hp Vanilla Flavour 400gm Bib,LOW,None,,
Active,Unlinked,26,Active Cap,LOW,None,,
Mega,Unlinked,26,Mega 3 Cap,LOW,None,,
Mox,Unlinked,26,Mox 250mg Cap Mox,LOW,None,,
My,Unlinked,26,My Gut Cap My,LOW,None,,
Sensodent,Unlinked,26,Sensodent Soft Pack Of 2 Toohbrush Hygiene Case,LOW,None,,
Bajaj,Bajaj Healthcare,26,Bajaj Nomarks Ayurivedic Antimarks Normal Skin 12gm Cream,HIGH,Exact Parent Brand Match,,
Glow,Unlinked,26,Glow And Handsome Mens Instant Brightness Rapid Action 25gm Cream,LOW,None,,
Mintop,Unlinked,26,Mintop Forte 5percent 60gm Foam,LOW,None,,
Pears,Unlinked,26,Pears Pure N Gentle 125gm Buy 4 Get 1 Free,LOW,None,,
Clinic,Unlinked,26,Clinic All Clear Active Care 100ml General,LOW,None,,
Vcare,Unlinked,26,Vcare Bamboo Charcoal Mask 100gm,LOW,None,,
Co,Unlinked,25,Co Aprovel 150mg Tab Co A0002,LOW,None,,
Nurokind,Mankind Pharma,25,Nurokind Lc 5ml Amp,HIGH,Verified Pharma Trade DB,,
Vi,Unlinked,25,Vi Care Total Cap,LOW,None,,
Moov,Reckitt,25,Moov 10gm Cream,HIGH,Verified Pharma Trade DB,,
Sumo,Alkem Laboratories,25,Sumo L 15ml Drops,HIGH,Verified Pharma Trade DB,,
Taxim,Alkem Laboratories,25,Taxim O 10ml Drops,HIGH,Verified Pharma Trade DB,,
Dapanorm,Unlinked,25,Dapanorm 10mg Tab,LOW,None,,
Accuchek,Unlinked,24,Accuchek Softclix Lancets 25s Roche Diabetes,LOW,None,,
N,Unlinked,24,N Vastin A Cap N,LOW,None,,
Set,Unlinked,24,Set Myalgix Softgel Cap,LOW,None,,
Emami,Emami,24,Emami Vigorex Capsule,HIGH,Exact Parent Brand Match,,
Equalstwo,Unlinked,24,Equalstwo Baby Skin Healing 150gm Cream,LOW,None,,
Fixderma,Unlinked,24,Fixderma Foobetik Foot 50gm Cream,LOW,None,,
Keto,Unlinked,24,Keto 15gm Cream,LOW,None,,
Lacto,Unlinked,24,Lacto Calamine Daily Sunshield Spf 50 Pa 50gm Cream,LOW,None,,
Metrogyl,J.B. Chemicals & Pharmaceuticals,24,Metrogyl 2percent 40gm Gel,HIGH,Verified Pharma Trade DB,,
Glinto,Unlinked,24,Glinto Kitchen Towels Cotton Pack 3s,LOW,None,,
Fabkare,Unlinked,24,Fabkare Detergent Bar 250gm,LOW,None,,
Azulix,Unlinked,24,Azulix 1mg Tab,LOW,None,,
Telmikind,Mankind Pharma,24,Telmikind Trio 12 5mg Tab,HIGH,Verified Pharma Trade DB,,
Thyronorm,Abbott India,24,Thyronorm 100mcg 100s Tab,HIGH,Verified Pharma Trade DB,,
Ankle,Unlinked,23,Ankle Foot Orthosis Xl Left Dynamic,LOW,None,,
Ayush,Unlinked,23,Ayush Natural Fairness Saffron Soap 100gx4,LOW,None,,
Agiator,Unlinked,23,Agiator Asp 10 150mg Cap,LOW,None,,
Novamox,Unlinked,23,Novamox 250mg Cap,LOW,None,,
O,Unlinked,23,O Ferr Cap O,LOW,None,,
Shelcal,Torrent Pharmaceuticals,23,Shelcal Ct Max Cap,HIGH,Verified Pharma Trade DB,,
Cervical,Unlinked,23,Cervical Collar Regluar Size L Vissco,LOW,None,,
One,Unlinked,23,One Plus 15gm Cream,LOW,None,,
Digene,Abbott India,23,Digene Acidity N Gas Relief Tablets 15s Assorted Flavour,HIGH,Verified Pharma Trade DB,,
Wild,Unlinked,23,Wild Stone Deo Talc Hydra Energy 100gm,LOW,None,,
