guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Orthonervin,Unlinked,1,Orthonervin 100ml Oil,LOW,None,,
Pamagain,Unlinked,1,Pamagain Pain 50ml Oil,LOW,None,,
Pamagin,Unlinked,1,Pamagin 50ml Pain Oil,LOW,None,,
Pass,Unlinked,1,Pass Pain 60ml Rollon Oil,LOW,None,,
Pedda,Unlinked,1,Pedda Haran 60ml Oil,LOW,None,,
Pilogrow,Unlinked,1,Pilogrow 100ml Hair Oil,LOW,None,,
Proactive,Unlinked,1,Proactive 100ml Oil,LOW,None,,
Qtepy,Unlinked,1,Qtepy Baby Massage 105ml Oil,LOW,None,,
Qurax,Unlinked,1,Qurax Active 100ml Oil,LOW,None,,
Ralipain,Unlinked,1,Ralipain 60ml Liniment Oil,LOW,None,,
Rcb,Unlinked,1,Rcb 100ml Hair Oil Rcb,LOW,None,,
Rumaforce,Unlinked,1,Rumaforce Pain 60ml Oil,LOW,None,,
Rumatas,Unlinked,1,Rumatas 60ml Oil,LOW,None,,
Ruturaj,Unlinked,1,Ruturaj 100ml Oil,LOW,None,,
Saetalo,Unlinked,1,Saetalo Hairfall Control 100ml Oil,LOW,None,,
Snobby,Unlinked,1,Snobby Virgin Coconut 100ml Oil,LOW,None,,
Strechmin,Unlinked,1,Strechmin Stretch Marks 60ml Oil,LOW,None,,
Sukoon,Unlinked,1,Sukoon Massage 500ml Oil,LOW,None,,
Tole,Unlinked,1,Tole Norm 100ml Oil,LOW,None,,
Topfenac,Unlinked,1,Topfenac 50ml Oil,LOW,None,,
Trespa,Unlinked,1,Trespa Hair 100ml Oil,LOW,None,,
Tress,Unlinked,1,Tress Ayurvedic Therapy 100ml Oil,LOW,None,,
Varco,Unlinked,1,Varco Leg Care Topical Phyto Oil,LOW,None,,
Vircoco,Unlinked,1,Vircoco Virgin Coconut 200ml Oil,LOW,None,,
Acurocin,Unlinked,1,Acurocin 5gm Oint,LOW,None,,
Adaclene,Unlinked,1,Adaclene 15gm Gel Oint,LOW,None,,
Addex,Unlinked,1,Addex 10gm Oint,LOW,None,,
Adlube,Unlinked,1,Adlube Eye Oint,LOW,None,,
Atpirocin,Unlinked,1,Atpirocin 10gm Oint,LOW,None,,
Autoheal,Unlinked,1,Autoheal 30gm Oint,LOW,None,,
Autolyse,Unlinked,1,Autolyse 15gm Oint,LOW,None,,
Azere,Unlinked,1,Azere 5gm Eye Oint,LOW,None,,
Bacitracin,Unlinked,1,Bacitracin 30gm Oint,LOW,None,,
Bactmed,Unlinked,1,Bactmed 5gm Oint,LOW,None,,
Bactocube,Unlinked,1,Bactocube 5gm Oint,LOW,None,,
Bactroban,Unlinked,1,Bactroban 5gm Oint,LOW,None,,
Bdcrisa,Unlinked,1,Bdcrisa 10gm Oint,LOW,None,,
Beclowin,Unlinked,1,Beclowin 10gm Oint,LOW,None,,
Belsalic,Unlinked,1,Belsalic 20gm Oint,LOW,None,,
Betarite,Unlinked,1,Betarite 15gm Oint,LOW,None,,
Betsalic,Unlinked,1,Betsalic 20gm Oint,LOW,None,,
Biodebrid,Unlinked,1,Biodebrid 15gm Oint,LOW,None,,
Bionect,Unlinked,1,Bionect 15gm Oint,LOW,None,,
Biosalic,Unlinked,1,Biosalic F 20gm Oint,LOW,None,,
Brobact,Unlinked,1,Brobact 5gm Oint,LOW,None,,
Cafilon,Unlinked,1,Cafilon 15gm Oint,LOW,None,,
Calcib,Unlinked,1,Calcib C 20gm Oint,LOW,None,,
Calcipelle,Unlinked,1,Calcipelle 15gm Oint,LOW,None,,
Cariheal,Unlinked,1,Cariheal 15gm Oint,LOW,None,,
Chlorcom,Unlinked,1,Chlorcom H 5gm Eye Oint,LOW,None,,
Clobetroy,Unlinked,1,Clobetroy S 20gm Oint,LOW,None,,
Clobivax,Unlinked,1,Clobivax S6 30gm Oint,LOW,None,,
Clobiway,Unlinked,1,Clobiway 30gm Oint,LOW,None,,
Clodis,Unlinked,1,Clodis Gm 15gm Oint,LOW,None,,
Clokapsol,Unlinked,1,Clokapsol 30gm Oint,LOW,None,,
Clomac,Unlinked,1,Clomac Mf 30gm Oint,LOW,None,,
Clorez,Unlinked,1,Clorez Mf 30gm Oint,LOW,None,,
Closal,Unlinked,1,Closal Sa 20gm Oint,LOW,None,,
Clozi,Unlinked,1,Clozi Mf 20gm Oint,LOW,None,,
Clygan,Unlinked,1,Clygan Eye 5gm Oint,LOW,None,,
Cormuzik,Unlinked,1,Cormuzik 10gm Oint,LOW,None,,
Cornigel,Unlinked,1,Cornigel Nf 5gm Eye Oint,LOW,None,,
Cortison,Unlinked,1,Cortison Optichlor 3gm Eye Oint,LOW,None,,
Crisbo,Unlinked,1,Crisbo 2percentw W 15gm Oint,LOW,None,,
Crisnuo,Unlinked,1,Crisnuo 20gm Oint,LOW,None,,
Critopic,Unlinked,1,Critopic Oint,LOW,None,,
Crotac,Unlinked,1,Crotac Forte 15gm Oint,LOW,None,,
Cutfar,Unlinked,1,Cutfar 25gm Oint,LOW,None,,
Daivobet,Unlinked,1,Daivobet 15gm Oint,LOW,None,,
Debridace,Unlinked,1,Debridace 15gm Oint,LOW,None,,
Debrifree,Unlinked,1,Debrifree 15gm Oint,LOW,None,,
Debriser,Unlinked,1,Debriser 15gm Oint,LOW,None,,
Debrivac,Unlinked,1,Debrivac 15gm Oint,LOW,None,,
Dermistop,Unlinked,1,Dermistop S 20gm Oint,LOW,None,,
Derobin,Unlinked,1,Derobin 30gm Oint,LOW,None,,
Dilucort,Unlinked,1,Dilucort Skin 50gm Oint,LOW,None,,
Dipclosol,Unlinked,1,Dipclosol F 20gm Oint,LOW,None,,
Diplomax,Unlinked,1,Diplomax 20gm Oint,LOW,None,,
Eczrid,Unlinked,1,Eczrid Forte 20gm Oint,LOW,None,,
Ednol,Unlinked,1,Ednol 5gm Eye Oint,LOW,None,,
Elbesa,Unlinked,1,Elbesa 25gm Oint,LOW,None,,
Elderm,Unlinked,1,Elderm Oint,LOW,None,,
Elosalic,Unlinked,1,Elosalic 15gm Oint,LOW,None,,
Emtofa,Unlinked,1,Emtofa 20gm Oint,LOW,None,,
Entrak,Unlinked,1,Entrak Soothe Eye 5gm Oint,LOW,None,,
Enzydeb,Unlinked,1,Enzydeb 15gm Oint,LOW,None,,
Ephytol,Unlinked,1,Ephytol 15gm Oint,LOW,None,,
Escort,Unlinked,1,Escort M 15gm Oint,LOW,None,,
Estocin,Unlinked,1,Estocin Eye 5gm Oint,LOW,None,,
Eutheria,Unlinked,1,Eutheria 20gm Oint,LOW,None,,
Evolve,Unlinked,1,Evolve Xl 5gm Eye Oint,LOW,None,,
Exetar,Unlinked,1,Exetar Oint,LOW,None,,
Exsora,Unlinked,1,Exsora 15gm Oint,LOW,None,,
Faktu,Unlinked,1,Faktu 15gm Oint,LOW,None,,
Flomo,Unlinked,1,Flomo Eye 5gm Oint,LOW,None,,
Floxitru,Unlinked,1,Floxitru Eye 5gm Oint,LOW,None,,
Flucreme,Unlinked,1,Flucreme Nm 10gm Oint,LOW,None,,
Flutopic,Unlinked,1,Flutopic Skin Oint,LOW,None,,
Furo,Unlinked,1,Furo Sense 10gm Oint,LOW,None,,
Gabament,Unlinked,1,Gabament 20gm Oint,LOW,None,,
Gabatrix,Unlinked,1,Gabatrix 30gm Oint,LOW,None,,
Germskutter,Unlinked,1,Germskutter 10gm Oint,LOW,None,,
Gladclo,Unlinked,1,Gladclo S 30gm Oint,LOW,None,,
Globact,Unlinked,1,Globact 15gm Oint,LOW,None,,
Halonise,Unlinked,1,Halonise S 30gm Oint,LOW,None,,
Hbsalic,Unlinked,1,Hbsalic 20gm Oint,LOW,None,,
Hcol,Unlinked,1,Hcol 5gm Eye Oint,LOW,None,,
Healol,Unlinked,1,Healol 15gm Oint,LOW,None,,
Healsenz,Unlinked,1,Healsenz 30gm Oint,LOW,None,,
Healsure,Unlinked,1,Healsure 15gm Oint,LOW,None,,
Heelcort,Unlinked,1,Heelcort 30gm Oint,LOW,None,,
Helosaf,Unlinked,1,Helosaf 10gm Oint,LOW,None,,
Helosil,Unlinked,1,Helosil 30gm Oint,LOW,None,,
Hepgel,Unlinked,1,Hepgel Oint,LOW,None,,
Himycin,Unlinked,1,Himycin Eye 5gm Oint,LOW,None,,
Hyclean,Unlinked,1,Hyclean 50gm Oint,LOW,None,,
Idoxine,Unlinked,1,Idoxine 10gm Oint,LOW,None,,
Imojac,Unlinked,1,Imojac 15gm Oint,LOW,None,,
Izo,Unlinked,1,Izo 5gm Eye Oint Izo,LOW,None,,
Keralin,Unlinked,1,Keralin Skin 15gm Oint,LOW,None,,
Kidyrub,Unlinked,1,Kidyrub 30gm Oint,LOW,None,,
Klaar,Unlinked,1,Klaar Db 15gm Oint,LOW,None,,
Labodine,Unlinked,1,Labodine 10gm Oint,LOW,None,,
Lubrilac,Unlinked,1,Lubrilac Eye 5gm Oint,LOW,None,,
Mabino,Unlinked,1,Mabino 5gm Oint,LOW,None,,
Macderm,Unlinked,1,Macderm K 10 15gm Oint,LOW,None,,
Medicreme,Unlinked,1,Medicreme 20gm Oint,LOW,None,,
Medivate,Unlinked,1,Medivate S 30gm Oint,LOW,None,,
Megatrum,Unlinked,1,Megatrum 1percent 5percent 15gm Oint,LOW,None,,
Moonguard,Unlinked,1,Moonguard 25gm Oint,LOW,None,,
Moxirut,Unlinked,1,Moxirut 5gm Eye Oint,LOW,None,,
Mu,Unlinked,1,Mu Fast 5gm Oint Mu,LOW,None,,
Muford,Unlinked,1,Muford 15gm Oint,LOW,None,,
Mumagic,Unlinked,1,Mumagic 5gm Oint,LOW,None,,
Mupact,Unlinked,1,Mupact 5gm Oint,LOW,None,,
Mupax,Unlinked,1,Mupax 15gm Oint,LOW,None,,
Mupiclin,Unlinked,1,Mupiclin 5gm Oint,LOW,None,,
Mupifen,Unlinked,1,Mupifen 5gm Oint,LOW,None,,
Mupilin,Unlinked,1,Mupilin 5gm Oint,LOW,None,,
Mupimark,Unlinked,1,Mupimark 5gm Oint,LOW,None,,
Mupineta,Unlinked,1,Mupineta 10gm Oint,LOW,None,,
Mupioff,Unlinked,1,Mupioff 5gm Oint,LOW,None,,
Mupipan,Unlinked,1,Mupipan 5gm Oint,LOW,None,,
Mupiral,Unlinked,1,Mupiral 10gm Oint,LOW,None,,
Mupirich,Unlinked,1,Mupirich 5gm Oint,LOW,None,,
Mupirol,Unlinked,1,Mupirol 10gm Oint,LOW,None,,
Mupisoft,Unlinked,1,Mupisoft 5gm Oint,LOW,None,,
Mupisurg,Unlinked,1,Mupisurg 10gm Oint,LOW,None,,
Mupitop,Unlinked,1,Mupitop 5gm Oint,LOW,None,,
Mupivate,Unlinked,1,Mupivate Oint,LOW,None,,
Mupiven,Unlinked,1,Mupiven 5gm Oint,LOW,None,,
Mupivent,Unlinked,1,Mupivent 5gm Oint,LOW,None,,
Mupiways,Unlinked,1,Mupiways 5gm Oint,LOW,None,,
Mupiwok,Unlinked,1,Mupiwok 5gm Oint,LOW,None,,
Mupizem,Unlinked,1,Mupizem 5gm Oint,LOW,None,,
Mupon,Unlinked,1,Mupon 5gm Oint,LOW,None,,
Muposvis,Unlinked,1,Muposvis 5gm Oint,LOW,None,,
Mupricare,Unlinked,1,Mupricare 5gm Oint,LOW,None,,
Must,Unlinked,1,Must 15gm Oint,LOW,None,,
Neobecmate,Unlinked,1,Neobecmate Cg 10gm Oint,LOW,None,,
Nicoripum,Unlinked,1,Nicoripum 5gm Oint,LOW,None,,
Nidadin,Unlinked,1,Nidadin S 20gm Oint,LOW,None,,
Nitrogesic,Unlinked,1,Nitrogesic 30gm Oint,LOW,None,,
Nupirocin,Unlinked,1,Nupirocin 5gm Oint,LOW,None,,
Ofacitix,Unlinked,1,Ofacitix 15gm Oint,LOW,None,,
Olergel,Unlinked,1,Olergel 15gm Oint,LOW,None,,
Optiithrocin,Unlinked,1,Optiithrocin Eye 5gm Oint,LOW,None,,
Optithrocin,Unlinked,1,Optithrocin Eye 5gm Oint,LOW,None,,
Optiviral,Unlinked,1,Optiviral Eye 5gm Oint,LOW,None,,
Orichem,Unlinked,1,Orichem Green 15gm Oint,LOW,None,,
Orthogabapain,Unlinked,1,Orthogabapain 3d 30gm Oint,LOW,None,,
Paraminol,Unlinked,1,Paraminol Oint,LOW,None,,
Pilezeal,Unlinked,1,Pilezeal Nf 20gm Oint,LOW,None,,
Pimesu,Unlinked,1,Pimesu 15gm Oint,LOW,None,,
Polyshield,Unlinked,1,Polyshield Dx 5gm Eye Oint,LOW,None,,
Povimed,Unlinked,1,Povimed S 15gm Oint,LOW,None,,
Povione,Unlinked,1,Povione Oz 15gm Oint,LOW,None,,
Povirex,Unlinked,1,Povirex M 15gm Oint,LOW,None,,
Povirig,Unlinked,1,Povirig Os 15gm Oint,LOW,None,,
Povirobes,Unlinked,1,Povirobes 15gm Oint,LOW,None,,
Poviwrap,Unlinked,1,Poviwrap 5percent 15gm Oint,LOW,None,,
Providine,Unlinked,1,Providine Am Plus 15gm Oint,LOW,None,,
Psora,Unlinked,1,Psora 15gm Oint,LOW,None,,
Psoratar,Unlinked,1,Psoratar Skin 50gm Oint,LOW,None,,
Psorvate,Unlinked,1,Psorvate 30gm Oint,LOW,None,,
Psorzed,Unlinked,1,Psorzed 30gm Oint,LOW,None,,
Rederma,Unlinked,1,Rederma 15gm Oint,LOW,None,,
Reticol,Unlinked,1,Reticol H 5gm Eye Oint,LOW,None,,
Ringozone,Unlinked,1,Ringozone 13gm Oint,LOW,None,,
Rolitac,Unlinked,1,Rolitac Plus 10gm Oint,LOW,None,,
Salicare,Unlinked,1,Salicare 12percent 30gm Oint,LOW,None,,
Salista,Unlinked,1,Salista C 6percent 20gm Oint,LOW,None,,
Salix,Unlinked,1,Salix 12 40gm Oint,LOW,None,,
Saltrix,Unlinked,1,Saltrix 30gm Oint,LOW,None,,
Sanchlor,Unlinked,1,Sanchlor Eye Care 200mg Oint,LOW,None,,
Silversulphadiazine,Unlinked,1,Silversulphadiazine Oint,LOW,None,,
Skinotreat,Unlinked,1,Skinotreat 15gm Oint,LOW,None,,
Smoothwalk,Unlinked,1,Smoothwalk 50gm Oint,LOW,None,,
Sorfil,Unlinked,1,Sorfil 30gm Oint,LOW,None,,
Spear,Unlinked,1,Spear 30gm Oint,LOW,None,,
Stafoban,Unlinked,1,Stafoban 10gm Oint,LOW,None,,
Stronz,Unlinked,1,Stronz Gel Oint,LOW,None,,
Tachop,Unlinked,1,Tachop 30gm Oint,LOW,None,,
Tacliment,Unlinked,1,Tacliment 0 03percent Eye 5gm Oint,LOW,None,,
Tacq,Unlinked,1,Tacq Forte 10gm Oint,LOW,None,,
Tacrel,Unlinked,1,Tacrel Forte 10gm Oint,LOW,None,,
Tacsis,Unlinked,1,Tacsis 10gm Oint,LOW,None,,
Talomus,Unlinked,1,Talomus Forte 10gm Oint,LOW,None,,
Thermohem,Unlinked,1,Thermohem 20gm Oint,LOW,None,,
Thrombotas,Unlinked,1,Thrombotas 20gm Oint,LOW,None,,
Tigor,Unlinked,1,Tigor 20gm Oint,LOW,None,,
Tivio,Unlinked,1,Tivio 5gm Oint,LOW,None,,
Toddrub,Unlinked,1,Toddrub 40gm Oint,LOW,None,,
Tolnacomb,Unlinked,1,Tolnacomb 10gm Oint,LOW,None,,
Topovid,Unlinked,1,Topovid 10percent 15gm Oint,LOW,None,,
Triamaderm,Unlinked,1,Triamaderm 15gm Oint,LOW,None,,
Tufgain,Unlinked,1,Tufgain S 20gm Oint,LOW,None,,
Ursderm,Unlinked,1,Ursderm Kt6 15gm Oint,LOW,None,,
Validsol,Unlinked,1,Validsol S3 30gm Oint,LOW,None,,
Winfield,Unlinked,1,Winfield 20gm Oint,LOW,None,,
Wounsol,Unlinked,1,Wounsol 15gm Oint,LOW,None,,
Xtracare,Unlinked,1,Xtracare 15gm Oint,LOW,None,,
Zalmox,Unlinked,1,Zalmox 5gm Eye Oint,LOW,None,,
Zerub,Unlinked,1,Zerub 25gm Oint,LOW,None,,
Zone,Unlinked,1,Zone F 15gm Oint,LOW,None,,
Zovi,Unlinked,1,Zovi 15gm Oint,LOW,None,,
Closone,Unlinked,1,Closone 20 Gm Ointment,LOW,None,,
Link,Unlinked,1,Link Ointment,LOW,None,,
Healozen,Unlinked,1,Healozen 50ml Roll On,LOW,None,,
Kamarest,Unlinked,1,Kamarest 5ml Roll On,LOW,None,,
Painprin,Unlinked,1,Painprin Pain Relief Oil 50ml Roll On,LOW,None,,
Unicorn,Unlinked,1,Unicorn 77025 Brown Opticals,LOW,None,,
Optus,Unlinked,1,Optus Nebulizer Phx Cn 06,LOW,None,,
Orgihair,Unlinked,1,Orgihair Tab Health Supplement,LOW,None,,
Orilene,Unlinked,1,Orilene Surgical Sutures Os 843,LOW,None,,
Oxymask,Unlinked,1,Oxymask Adult Medipolis,LOW,None,,
Oxymin,Unlinked,1,Oxymin Cap Multi Therapy Micronutrients,LOW,None,,
Atroren,Unlinked,1,Atroren P,LOW,None,,
Adcross,Unlinked,1,Adcross Aqua Sunscreen Spf 50 Pa,LOW,None,,
Dermazem,Unlinked,1,Dermazem Nano Spf50 N Pa,LOW,None,,
Lashield,Unlinked,1,Lashield Max Sunscreen Spf80 Pa,LOW,None,,
Maskosun,Unlinked,1,Maskosun Soft Sunscreen Spf 60 Pa,LOW,None,,
Fixderm,Unlinked,1,Fixderm Shadow Sunscreen Spf50 Pa,LOW,None,,
Skotos,Unlinked,1,Skotos Spf 60 Pa,LOW,None,,
Softscreen,Unlinked,1,Softscreen Matte Tinted Sunscreen Spf50 Pa,LOW,None,,
Sunmist,Unlinked,1,Sunmist Silicone Sunscreen Spf 50 Pa,LOW,None,,
Suntarp,Unlinked,1,Suntarp Spf 50 Pa,LOW,None,,
Triozon,Unlinked,1,Triozon Silicone Sunscreen Spf 50 Pa,LOW,None,,
Dispocann,Unlinked,1,Dispocann Alcohol Swabs 100s Pack,LOW,None,,
Harmony,Unlinked,1,Harmony 3 S Pack,LOW,None,,
Hoco,Unlinked,1,Hoco Paq Hot N Cold Gel Pack,LOW,None,,
Reliefe,Unlinked,1,Reliefe Hot N Cold Gel Pack,LOW,None,,
Reusable,Unlinked,1,Reusable Hot Or Cold Gel Pack,LOW,None,,
Heating,Unlinked,1,Heating Pad,LOW,None,,
Kellys,Unlinked,1,Kellys Pad,LOW,None,,
Cleanway,Unlinked,1,Cleanway Under Sheets 60cmx90cm 10 Pads,LOW,None,,
Lokiapad,Unlinked,1,Lokiapad 8s Pads,LOW,None,,
Underpads,Unlinked,1,Underpads Adults 10s Pads,LOW,None,,
Astradent,Unlinked,1,Astradent 15ml Gum Paint,LOW,None,,
Dantox,Unlinked,1,Dantox 15ml Gum Paint,LOW,None,,
Paramesh,Unlinked,1,Paramesh 10x10,LOW,None,,
Aclaim,Unlinked,1,Aclaim 70gm Paste,LOW,None,,
Afthus,Unlinked,1,Afthus 5gm Paste,LOW,None,,
Afthuss,Unlinked,1,Afthuss 5gm Meu Amor Dental Paste,LOW,None,,
Amlenox,Unlinked,1,Amlenox Oral 5gm Paste,LOW,None,,
Braceness,Unlinked,1,Braceness 125gm Tooth Paste,LOW,None,,
Cortolyx,Unlinked,1,Cortolyx 0 1percent Oral 5gm Paste,LOW,None,,
Cortorawyn,Unlinked,1,Cortorawyn 0 1percent Oral 5gm Paste,LOW,None,,
Dentomac,Unlinked,1,Dentomac 50gm Paste,LOW,None,,
Dentomist,Unlinked,1,Dentomist Sensitive 100gm Tooth Paste,LOW,None,,
Dentosys,Unlinked,1,Dentosys 50gm Tooth Paste,LOW,None,,
Dualcare,Unlinked,1,Dualcare Gel 50gm Paste,LOW,None,,
Elsenz,Unlinked,1,Elsenz 70gm Tooth Paste,LOW,None,,
Enafix,Unlinked,1,Enafix 70gm Paste,LOW,None,,
Glister,Unlinked,1,Glister Toothpaste 50gm Paste,LOW,None,,
Glizer,Unlinked,1,Glizer Tooth 100gm Paste,LOW,None,,
Ipco,Unlinked,1,Ipco 30gm Paste,LOW,None,,
Oralike,Unlinked,1,Oralike 50gm Tooth Paste,LOW,None,,
Orasare,Unlinked,1,Orasare Whitening 10gm Tooth Paste,LOW,None,,
Oratry,Unlinked,1,Oratry 5gm Oral Paste,LOW,None,,
Oraways,Unlinked,1,Oraways 5gm Paste,LOW,None,,
Orohealth,Unlinked,1,Orohealth 70gm Tooth Paste,LOW,None,,
Pearlz,Unlinked,1,Pearlz 50gm Paste,LOW,None,,
Peedesan,Unlinked,1,Peedesan 100gm Tooth Paste,LOW,None,,
Senqule,Unlinked,1,Senqule F Plus 100gm Paste,LOW,None,,
Sensinil,Unlinked,1,Sensinil Tooth 100gm Paste,LOW,None,,
Sensodnt,Unlinked,1,Sensodnt K Plus 100gm Paste,LOW,None,,
Sensonill,Unlinked,1,Sensonill Repair N Protect 100gm Paste,LOW,None,,
Senzof,Unlinked,1,Senzof 50gm Paste,LOW,None,,
Snowdent,Unlinked,1,Snowdent 100gm Paste,LOW,None,,
Sudanta,Unlinked,1,Sudanta 100gm Tooth Paste,LOW,None,,
Toothmin,Unlinked,1,Toothmin 70gm Paste,LOW,None,,
Turbocort,Unlinked,1,Turbocort 15gm Oral Paste,LOW,None,,
Versatil,Unlinked,1,Versatil 100gm Tooth Paste,LOW,None,,
Whyt,Unlinked,1,Whyt Whitening 70gm Tooth Paste,LOW,None,,
Xtar,Unlinked,1,Xtar 100gm Tooth Paste,LOW,None,,
Gingerol,Unlinked,1,Gingerol Pastilles,LOW,None,,
Bupreplast,Unlinked,1,Bupreplast 5mcg Transdermal Patch,LOW,None,,
Dicloplast,Unlinked,1,Dicloplast 100mg Patch,LOW,None,,
Jelonet,Unlinked,1,Jelonet Patch,LOW,None,,
Ketopatch,Unlinked,1,Ketopatch 30mg Patch,LOW,None,,
Ketoplast,Unlinked,1,Ketoplast Plus 7s Patch,LOW,None,,
Lido,Unlinked,1,Lido Plast Pain Relief 350mg Patch,LOW,None,,
Luren,Unlinked,1,Luren Pain Relief Patch,LOW,None,,
Menthopas,Unlinked,1,Menthopas Patch,LOW,None,,
Nitroderm,Unlinked,1,Nitroderm Tts 5 Patch,LOW,None,,
Biosafe,Unlinked,1,Biosafe Disposable Latex Examination Gloves Large 100pcs,LOW,None,,
Peer,Unlinked,1,Peer Bio Hot And Cool Pack Gel 2 In 1,LOW,None,,
Pepsi,Unlinked,1,Pepsi Soft Drink 250ml Pet Bottle Rs 20,LOW,None,,
Caropram,Unlinked,1,Caropram Inj 5ml 20mg 1percent,LOW,None,,
Drosyn,Unlinked,1,Drosyn Eye Drop 10percent,LOW,None,,
Recovery,Unlinked,1,Recovery T Kit With Oxygen Tube 100percent,LOW,None,,
Cyclogest,Unlinked,1,Cyclogest 400mg Pessaries,LOW,None,,
Nimbooz,Unlinked,1,Nimbooz 350ml Pet,LOW,None,,
4ph,Unlinked,1,4ph 40mg Tab 4ph,LOW,None,,
Photo,Unlinked,1,Photo Bloc Spf 50 Pa,LOW,None,,
Phototherapy,Unlinked,1,Phototherapy Goggles 1,LOW,None,,
Den,Unlinked,1,Den Tonic Teething Pills Den,LOW,None,,
4play,Unlinked,1,4play Cap,LOW,None,,
Neubar,Unlinked,1,Neubar Chamber Plain,LOW,None,,
Belladona,Unlinked,1,Belladona Plaster,LOW,None,,
Belladonna,Unlinked,1,Belladonna Perforated Plaster,LOW,None,,
Donaplast,Unlinked,1,Donaplast Zalakfal Plaster,LOW,None,,
Commod,Unlinked,1,Commod Pot Plastic,LOW,None,,
Ageln,Unlinked,1,Ageln Gauze 10cmx10cmx8ply,LOW,None,,
Polymask,Unlinked,1,Polymask N 95 Ffp2 Polymed,LOW,None,,
Portable,Unlinked,1,Portable Mesh Nebulizer Model No Jsl W302,LOW,None,,
Senora,Unlinked,1,Senora 4 Ltr Ib Biryani Pot,LOW,None,,
Priya,Unlinked,1,Priya Rice Rich Rice Bran Oil 1ltr Pouch,LOW,None,,
Acti,Unlinked,1,Acti Grow Vanila 400gm Powder,LOW,None,,
Agecare,Unlinked,1,Agecare Dha Vanilla Flavour 250gm Powder,LOW,None,,
Airapro,Unlinked,1,Airapro D Vanilla Flavour 400gm Powder,LOW,None,,
Ajanta,Ajanta Pharma,1,Ajanta Ors Lemon Flavour 21 8gm Powder,HIGH,Exact Parent Brand Match,,
Albuwise,Unlinked,1,Albuwise Vanilla Flavour Jar 300gm Powder,LOW,None,,
Allwellz,Unlinked,1,Allwellz Vanilla 200gm Powder,LOW,None,,
Amfiber,Unlinked,1,Amfiber Orange Flavour 90gm Powder,LOW,None,,
Anjola,Unlinked,1,Anjola Plus Laxative Powder,LOW,None,,
Arolac,Unlinked,1,Arolac 45gm Powder,LOW,None,,
Arow,Unlinked,1,Arow Rt 50gm Ashtavaidya Powder,LOW,None,,
Arrow,Unlinked,1,Arrow Root 100gm Powder,LOW,None,,
Attinbrath,Unlinked,1,Attinbrath 450gm Powder,LOW,None,,
Avipattikar,Unlinked,1,Avipattikar Churna 50gm Powder,LOW,None,,
Avipro,Unlinked,1,Avipro 100gm Powder,LOW,None,,
Azkalax,Unlinked,1,Azkalax S 100gm Powder,LOW,None,,
Bajar,Unlinked,1,Bajar Rangi Lep 10gm Powder,LOW,None,,
Balance,Unlinked,1,Balance Kids Vanilla Tin 200gm Powder,LOW,None,,
Banatan,Unlinked,1,Banatan 15gm Powder,LOW,None,,
Beens,Unlinked,1,Beens Mom Vanilla 200gm Powder,LOW,None,,
Benefiber,Unlinked,1,Benefiber 100gm Powder,LOW,None,,
Beyolax,Unlinked,1,Beyolax 90gm Powder,LOW,None,,
Bilagyl,Unlinked,1,Bilagyl Lehya 250gm Powder,LOW,None,,
Biospring,Unlinked,1,Biospring Whey Protein Chocolate 500gm Powder,LOW,None,,
Broplis,Unlinked,1,Broplis Ice Powder 150gms Powder,LOW,None,,
Budypro,Unlinked,1,Budypro Chocolate Flavour 200gm Powder,LOW,None,,
Cadivit,Unlinked,1,Cadivit Df 200gm Powder,LOW,None,,
Calcikind,Unlinked,1,Calcikind 1gm Sachet Powder,LOW,None,,
Candicute,Unlinked,1,Candicute Dusting 100gm Powder,LOW,None,,
Candigurd,Unlinked,1,Candigurd 100gm Powder,LOW,None,,
Celepro,Unlinked,1,Celepro 200gm Powder,LOW,None,,
Champion,Unlinked,1,Champion Amla 100gm Powder,LOW,None,,
Chondria,Unlinked,1,Chondria Chocolate Flavour 400gm Powder,LOW,None,,
Ciplung,Unlinked,1,Ciplung Vanilla 200gm Powder,LOW,None,,
Cirilla,Unlinked,1,Cirilla Chocolate 200gm Powder,LOW,None,,
Clotnic,Unlinked,1,Clotnic Antifungal Dusting 100gm Powder,LOW,None,,
Clotritreat,Unlinked,1,Clotritreat 75gm Dusting Powder,LOW,None,,
Coloferrin,Unlinked,1,Coloferrin 50gm Powder,LOW,None,,
Copewel,Unlinked,1,Copewel Rc Vanilla Flavour 400gm Tin Powder,LOW,None,,
Czhh,Unlinked,1,Czhh Dusting 100gm Powder,LOW,None,,
Dexadine,Unlinked,1,Dexadine 10gm Powder,LOW,None,,
Dexpro,Unlinked,1,Dexpro Dha Chocolate Flavour 200gm Powder,LOW,None,,
Diarich,Unlinked,1,Diarich Chocolate 200gm Powder,LOW,None,,
Diastar,Unlinked,1,Diastar Vanilla 200gm Powder,LOW,None,,
Diosmec,Unlinked,1,Diosmec 3gm Sachet Powder,LOW,None,,
Doctriin,Unlinked,1,Doctriin 33 200gm Powder,LOW,None,,
Dulac,Unlinked,1,Dulac 500gm Powder,LOW,None,,
Dupro,Unlinked,1,Dupro 500gm Powder,LOW,None,,
Emprovit,Unlinked,1,Emprovit Dha Kesar Pista 200gm Powder,LOW,None,,
Energetic,Unlinked,1,Energetic 105gm Powder,LOW,None,,
